min_height,max_height,min_weight,max_weight,ideal_calories,meal_plan_high,meal_plan_equal,meal_plan_less
130,140,40,50,1600,Lose weight: Daily caloric intake should be 1290-1390 calories ,Maintain weight: Daily caloric intake should be 1560-1760 calories,Gain weight: Daily caloric intake should be 1940-2140 calories
130,140,50,60,1800,Lose weight: Daily caloric intake should be 1430-1530 calories ,Maintain weight: Daily caloric intake should be 1700-1900 calories,Gain weight: Daily caloric intake should be 2080-2280 calories
130,140,60,70,1940,Lose weight: Daily caloric intake should be 1560-1660 calories ,Maintain weight: Daily caloric intake should be 1840-2040 calories,Gain weight: Daily caloric intake should be 2210-2410 calories
130,140,70,80,2080,Lose weight: Daily caloric intake should be 1820-1920 calories ,Maintain weight: Daily caloric intake should be 2100-2300 calories,Gain weight: Daily caloric intake should be 2470-2670 calories
130,140,80,90,2220,Lose weight: Daily caloric intake should be 1840-1940 calories ,Maintain weight: Daily caloric intake should be 2120-2320 calories,Gain weight: Daily caloric intake should be 2490-2690 calories
130,140,90,100,2360,Lose weight: Daily caloric intake should be 1980-2080 calories ,Maintain weight: Daily caloric intake should be 2260-2460 calories,Gain weight: Daily caloric intake should be 2630-2830 calories
130,140,100,110,2490,Lose weight: Daily caloric intake should be 2120-2220 calories ,Maintain weight: Daily caloric intake should be 2390-2590 calories,Gain weight: Daily caloric intake should be 2770-2970 calories
130,140,110,120,2630,Lose weight: Daily caloric intake should be 2260-2360 calories ,Maintain weight: Daily caloric intake should be 2530-2730 calories,Gain weight: Daily caloric intake should be 2910-3110 calories
140,150,40,50,1750,Lose weight: Daily caloric intake should be 1360-1460 calories ,Maintain weight: Daily caloric intake should be 1640-1840 calories,Gain weight: Daily caloric intake should be 2010-2210 calories
140,150,50,60,1890,Lose weight: Daily caloric intake should be 1510-1610 calories ,Maintain weight: Daily caloric intake should be 1790-1990 calories,Gain weight: Daily caloric intake should be 2160-2360 calories
140,150,60,70,2030,Lose weight: Daily caloric intake should be 1650-1750 calories ,Maintain weight: Daily caloric intake should be 1930-2130 calories,Gain weight: Daily caloric intake should be 2300-2500 calories
140,150,70,80,2170,Lose weight: Daily caloric intake should be 1790-1890 calories ,Maintain weight: Daily caloric intake should be 2070-2270 calories,Gain weight: Daily caloric intake should be 2440-2640 calories
140,150,80,90,2290,Lose weight: Daily caloric intake should be 1910-2010 calories ,Maintain weight: Daily caloric intake should be 2190-2390 calories,Gain weight: Daily caloric intake should be 2560-2760 calories
140,150,90,100,2440,Lose weight: Daily caloric intake should be 2070-2170 calories ,Maintain weight: Daily caloric intake should be 2340-2540 calories,Gain weight: Daily caloric intake should be 2720-2920 calories
140,150,100,110,2580,Lose weight: Daily caloric intake should be 2200-2300calories ,Maintain weight: Daily caloric intake should be 2480-2680 calories,Gain weight: Daily caloric intake should be 2850-3050 calories
140,150,110,120,2635,Lose weight: Daily caloric intake should be 2270-2370 calories ,Maintain weight: Daily caloric intake should be 2550-2750 calories,Gain weight: Daily caloric intake should be 2920-3120 calories
150,160,40,50,1840,Lose weight: Daily caloric intake should be 1460-1560 calories ,Maintain weight: Daily caloric intake should be 1740-1940 calories,Gain weight: Daily caloric intake should be 2110-2310 calories
150,160,50,60,1980,Lose weight: Daily caloric intake should be 1600-1700 calories ,Maintain weight: Daily caloric intake should be 1880-2080 calories,Gain weight: Daily caloric intake should be 2250-2450 calories
150,160,60,70,2110,Lose weight: Daily caloric intake should be 1740-1840 calories ,Maintain weight: Daily caloric intake should be 2010-2210 calories,Gain weight: Daily caloric intake should be 2390-2590 calories
150,160,70,80,2250,Lose weight: Daily caloric intake should be 1880-1980 calories ,Maintain weight: Daily caloric intake should be 2150-2350 calories,Gain weight: Daily caloric intake should be 2530-2730 calories
150,160,80,90,2390,Lose weight: Daily caloric intake should be 2010-2110 calories ,Maintain weight: Daily caloric intake should be 2290-2490 calories,Gain weight: Daily caloric intake should be 2660-2860 calories
150,160,90,100,2530,Lose weight: Daily caloric intake should be 2150-2250 calories ,Maintain weight: Daily caloric intake should be 2430-2630 calories,Gain weight: Daily caloric intake should be 2800-3000 calories
150,160,100,110,2670,Lose weight: Daily caloric intake should be 2290-2390 calories ,Maintain weight: Daily caloric intake should be 2570-2770 calories,Gain weight: Daily caloric intake should be 2940-3140 calories
150,160,110,120,2810,Lose weight: Daily caloric intake should be 2430-2530 calories ,Maintain weight: Daily caloric intake should be 2710-2910 calories,Gain weight: Daily caloric intake should be 3080-3280 calories
160,170,40,50,1920,Lose weight: Daily caloric intake should be 1550-1650 calories ,Maintain weight: Daily caloric intake should be 1820-2020 calories,Gain weight: Daily caloric intake should be 2200-2400 calories
160,170,50,60,2060,Lose weight: Daily caloric intake should be 1690-1790 calories ,Maintain weight: Daily caloric intake should be 1960-2160 calories,Gain weight: Daily caloric intake should be 2340-2540 calories
160,170,60,70,2200,Lose weight: Daily caloric intake should be 1820-1920 calories ,Maintain weight: Daily caloric intake should be 2100-2300 calories,Gain weight: Daily caloric intake should be 2470-2670 calories
160,170,70,80,2340,Lose weight: Daily caloric intake should be 1960-2060 calories ,Maintain weight: Daily caloric intake should be 2240-2440 calories,Gain weight: Daily caloric intake should be 2610-2810 calories
160,170,80,90,2480,Lose weight: Daily caloric intake should be 2100-2200 calories ,Maintain weight: Daily caloric intake should be 2380-2580 calories,Gain weight: Daily caloric intake should be 2750-2950 calories
160,170,90,100,2620,Lose weight: Daily caloric intake should be 2240-2340 calories ,Maintain weight: Daily caloric intake should be 2520-2730 calories,Gain weight: Daily caloric intake should be 2890-3090 calories
160,170,100,110,2750,Lose weight: Daily caloric intake should be 2380-2480 calories ,Maintain weight: Daily caloric intake should be 2650-2850 calories,Gain weight: Daily caloric intake should be 3030-3230 calories
160,170,110,120,2890,Lose weight: Daily caloric intake should be 2520-2620 calories ,Maintain weight: Daily caloric intake should be 2790-2990 calories,Gain weight: Daily caloric intake should be 3170-3370 calories
170,180,40,50,2010,Lose weight: Daily caloric intake should be 1630-1730 calories ,Maintain weight: Daily caloric intake should be 1910-2110 calories,Gain weight: Daily caloric intake should be 2280-2480 calories
170,180,50,60,2150,Lose weight: Daily caloric intake should be 1770-1870 calories ,Maintain weight: Daily caloric intake should be 2050-2250 calories,Gain weight: Daily caloric intake should be 2420-2620 calories
170,180,60,70,2290,Lose weight: Daily caloric intake should be 1910-2010 calories ,Maintain weight: Daily caloric intake should be 2190-2390 calories,Gain weight: Daily caloric intake should be 2560-2760 calories
170,180,70,80,2430,Lose weight: Daily caloric intake should be 2050-2150 calories ,Maintain weight: Daily caloric intake should be 2320-2520 calories,Gain weight: Daily caloric intake should be 2700-2900 calories
170,180,80,90,2560,Lose weight: Daily caloric intake should be 2190-2290 calories ,Maintain weight: Daily caloric intake should be 2460-2660 calories,Gain weight: Daily caloric intake should be 2840-3040 calories
170,180,90,100,2700,Lose weight: Daily caloric intake should be 2330-2430 calories ,Maintain weight: Daily caloric intake should be 2600-2800 calories,Gain weight: Daily caloric intake should be 2980-3180 calories
170,180,100,110,2840,Lose weight: Daily caloric intake should be 2460-2150 calories ,Maintain weight: Daily caloric intake should be 2740-2940 calories,Gain weight: Daily caloric intake should be 3100-3310 calories
170,180,110,120,2980,Lose weight: Daily caloric intake should be 2600-2700 calories ,Maintain weight: Daily caloric intake should be 2880-3080 calories,Gain weight: Daily caloric intake should be 3250-3450 calories
180,190,40,50,2100,Lose weight: Daily caloric intake should be 1720-1820 calories ,Maintain weight: Daily caloric intake should be 2000-2200 calories,Gain weight: Daily caloric intake should be 2370-2570 calories
180,190,50,60,2230,Lose weight: Daily caloric intake should be 1860-1960 calories ,Maintain weight: Daily caloric intake should be 2130-2330 calories,Gain weight: Daily caloric intake should be 2510-2710 calories
180,190,60,70,2370,Lose weight: Daily caloric intake should be 2000-2100 calories ,Maintain weight: Daily caloric intake should be 2270-2470 calories,Gain weight: Daily caloric intake should be 2650-2850 calories
180,190,70,80,2510,Lose weight: Daily caloric intake should be 2140-2240 calories ,Maintain weight: Daily caloric intake should be 2410-2610 calories,Gain weight: Daily caloric intake should be 2790-2990 calories
180,190,80,90,2650,Lose weight: Daily caloric intake should be 2270-2370 calories ,Maintain weight: Daily caloric intake should be 2550-2750 calories,Gain weight: Daily caloric intake should be 2920-3120 calories
180,190,90,100,2790,Lose weight: Daily caloric intake should be 2410-2510 calories ,Maintain weight: Daily caloric intake should be 2690-2890 calories,Gain weight: Daily caloric intake should be 3060-3260 calories
180,190,100,110,2930,Lose weight: Daily caloric intake should be 2550-2650 calories ,Maintain weight: Daily caloric intake should be 2830-3030 calories,Gain weight: Daily caloric intake should be 3200-3400 calories
180,190,110,120,3060,Lose weight: Daily caloric intake should be 2690-2790 calories ,Maintain weight: Daily caloric intake should be 2960-3160 calories,Gain weight: Daily caloric intake should be 3340-3540 calories
190,200,40,50,2180,Lose weight: Daily caloric intake should be 1810-1910 calories ,Maintain weight: Daily caloric intake should be 2080-2280 calories,Gain weight: Daily caloric intake should be 2460-2660 calories
190,200,50,60,2320,Lose weight: Daily caloric intake should be 1950-2050 calories ,Maintain weight: Daily caloric intake should be 2220-2420 calories,Gain weight: Daily caloric intake should be 2600-2800 calories
190,200,60,70,2460,Lose weight: Daily caloric intake should be 2080-2180 calories ,Maintain weight: Daily caloric intake should be 2360-2560 calories,Gain weight: Daily caloric intake should be 2730-2930 calories
190,200,70,80,2600,Lose weight: Daily caloric intake should be 2220-2320 calories ,Maintain weight: Daily caloric intake should be 2500-2700 calories,Gain weight: Daily caloric intake should be 2870-3070 calories
190,200,80,90,2740,Lose weight: Daily caloric intake should be 2360-2460 calories ,Maintain weight: Daily caloric intake should be 2640-2840 calories,Gain weight: Daily caloric intake should be 3010-3210 calories
190,200,90,100,2870,Lose weight: Daily caloric intake should be 2500-2600 calories ,Maintain weight: Daily caloric intake should be 2770-2970 calories,Gain weight: Daily caloric intake should be 3150-330 calories
190,200,100,110,3010,Lose weight: Daily caloric intake should be 2640-2740 calories ,Maintain weight: Daily caloric intake should be 2910-3110 calories,Gain weight: Daily caloric intake should be 3290-3490 calories
190,200,110,120,3150,Lose weight: Daily caloric intake should be 2780-2880 calories ,Maintain weight: Daily caloric intake should be 3050-3250 calories,Gain weight: Daily caloric intake should be 3430-3630 calories
200,210,40,50,2270,Lose weight: Daily caloric intake should be 1890-1990 calories ,Maintain weight: Daily caloric intake should be 2170-2370 calories,Gain weight: Daily caloric intake should be 2540-2740 calories
200,210,50,60,2410,Lose weight: Daily caloric intake should be 2030-2130 calories ,Maintain weight: Daily caloric intake should be 2310-2510 calories,Gain weight: Daily caloric intake should be 2680-2880 calories
200,210,60,70,2530,Lose weight: Daily caloric intake should be 2160-2260 calories ,Maintain weight: Daily caloric intake should be 2430-3630 calories,Gain weight: Daily caloric intake should be 2810-3010 calories
200,210,70,80,2680,Lose weight: Daily caloric intake should be 2310-2410 calories ,Maintain weight: Daily caloric intake should be 2580-2780 calories,Gain weight: Daily caloric intake should be 2960-3160 calories
200,210,80,90,2820,Lose weight: Daily caloric intake should be 2450-2550 calories ,Maintain weight: Daily caloric intake should be 2720-2920 calories,Gain weight: Daily caloric intake should be 3100-3300 calories
200,210,90,100,2960,Lose weight: Daily caloric intake should be 2590-2690 calories ,Maintain weight: Daily caloric intake should be 2860-3060 calories,Gain weight: Daily caloric intake should be 3240-3440 calories
200,210,100,110,3100,Lose weight: Daily caloric intake should be 2720-2820 calories ,Maintain weight: Daily caloric intake should be 3000-3200 calories,Gain weight: Daily caloric intake should be 3370-3570 calories
200,210,110,120,3240,Lose weight: Daily caloric intake should be 2860-2960 calories ,Maintain weight: Daily caloric intake should be 3140-3340 calories,Gain weight: Daily caloric intake should be 3510-3710 calories
